"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC101155120"	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0
"LOC101155122"	1	0	0	0	2	27	22	15	3	0	0	0	0	0	1	0
"LOC101155125"	28	11	8	14	649	520	574	831	17	8	0	0	0	0	5	7
"LOC101155126"	0	0	0	0	151	105	232	188	0	0	0	0	0	0	0	0
"LOC101155128"	12	0	13	1	1022	1004	1218	1220	1	4	0	0	7	0	2	1
"LOC101155132"	0	0	0	0	428	571	638	667	0	0	0	0	0	0	0	0
"LOC101155136"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC101155137"	1	0	0	1	113	136	163	130	0	0	0	0	0	0	0	0
"LOC101155138"	2	0	0	0	5	4	33	11	0	0	0	0	0	0	0	0
"LOC101155141"	33	8	5	7	1	0	5	2	9	12	1	0	0	0	7	4
"LOC101155143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155144"	33	0	0	3	1446	2083	2318	2360	19	27	2	0	3	0	9	7
"LOC101155147"	0	0	0	0	24	26	56	42	0	0	0	0	0	0	0	0
"LOC101155149"	0	0	0	0	169	161	144	124	0	0	0	0	0	0	0	0
"LOC101155150"	0	1	0	0	37	20	40	14	2	0	0	0	0	0	0	0
"LOC101155153"	0	0	0	1	33	10	7	39	0	0	0	0	0	0	0	0
"LOC101155154"	0	0	0	0	1	6	9	7	0	0	0	0	0	0	0	0
"LOC101155158"	0	0	0	0	1	0	3	5	0	0	0	0	0	0	0	0
"LOC101155162"	29	10	1	3	1811	2032	2048	2068	8	5	2	0	0	0	2	6
"LOC101155164"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155165"	7	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1
"LOC101155171"	7	0	1	0	2857	2744	2594	2708	1	0	1	0	0	0	0	1
"LOC101155172"	0	0	0	0	258	191	324	324	0	0	0	0	0	0	0	0
"LOC101155173"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC101155175"	3	0	0	0	564	639	671	576	0	2	1	0	0	0	1	1
"LOC101155176"	0	0	0	0	11	0	0	23	0	0	0	0	0	0	0	0
"LOC101155178"	0	0	0	0	12	4	2	8	0	0	0	0	0	0	0	0
"LOC101155181"	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
"LOC101155183"	4	2	0	0	534	513	668	480	0	0	0	0	0	0	0	0
"LOC101155189"	0	0	0	0	0	22	0	15	0	0	0	0	0	0	0	0
"LOC101155190"	9	0	0	0	496	595	639	695	6	0	0	0	0	0	0	0
"LOC101155194"	9	0	2	2	2316	2293	2340	2367	7	3	0	0	2	5	1	6
"LOC101155195"	0	0	0	1	523	448	426	567	0	0	0	0	0	0	1	0
"LOC101155197"	38	2	4	1	233	87	162	221	18	24	0	0	0	0	9	3
